Keyphrase,Site-Search Results,Site-Search Top Position,Site-Search Top URL,Ahrefs Volume (US),Global Volume,Keyword Difficulty,CPC (USD),Clicks,Traffic Potential,Parent Topic,Ahrefs Data
dance,20,1,https://dance.arizona.edu/,73000,292000,75,0.25,22039,15000,dance,yes
law,20,1,https://law.arizona.edu/,73000,274000,86,2.0,22663,100,house of law,yes
paralegal,20,1,https://ce.arizona.edu/classes/paralegal-certificate-course,71000,148000,10,4.0,29313,600,paralegal near me,yes
radiology,20,1,https://health.arizona.edu/people/radiology,68000,143000,57,1.5,20313,21000,radiology,yes
Store,20,1,https://international.arizona.edu/store,67000,247000,93,0.5,31931,77000,chrome web store,yes
careers,20,1,https://sgpp.arizona.edu/events/career-workshop-jobinternship-search,67000,136000,77,0.6,39301,75000,government jobs,yes
hr,20,1,https://hr.arizona.edu/,66000,471000,51,0.45,26485,5600,hr,yes
discovery,20,1,https://psychology.arizona.edu/psychology-discovery,64000,449000,76,0.2,32529,128000,discovery,yes
appeal,20,1,https://research.arizona.edu/development/building-your-research-reputation/appeal-industry,63000,129000,42,0.25,10744,3300,appeal,yes
service now,20,1,https://news.arizona.edu/uannounce/classroom-technology-services-now-instructional-technology-services,60000,176000,56,0.7,42623,144000,servicenow,yes
holidays,20,1,https://azcovidtxt.arizona.edu/news/happy-holidays,60000,274000,72,0.35,33677,139000,holidays,yes
certificate,20,1,https://www.arizona.edu/degree-search,59000,441000,41,1.2,14728,700,creating a certification program,yes
policy,20,1,https://phoenixmed.arizona.edu/policy/admissions-selection-policy,59000,214000,39,4.0,18215,5900,policy,yes
classes,20,1,https://www.arizona.edu/admissions/student-stories/must-take-classes-university-arizona-according-students,58000,95000,47,0.7,25657,111000,classroom,yes
transcript,20,1,https://uaccess.arizona.edu/,57000,188000,72,0.7,20424,197000,irs transcript,yes
software,20,1,https://www.arizona.edu/degree-search/majors/software-engineering-bsse,56000,653000,13,0.2,17283,8200,software,yes
scholarship,20,1,https://financialaid.arizona.edu/apply-for-aid,55000,617000,79,1.1,27676,60000,scholarship,yes
physician assistant,20,1,https://www.arizona.edu/degree-search/majors/physician-assistant,54000,97000,46,1.4,24464,23000,physician assistant,yes
Spring break,20,1,https://lib.arizona.edu/about/news/spring-finals-study-break-activities-get,53000,93000,8,0.3,21601,6100,spring break,yes
disability,20,1,https://drc.arizona.edu/,52000,113000,71,0.6,30157,202000,social security disability,yes
orientation,20,1,https://infosci.arizona.edu/orientation,50000,148000,7,0.3,10052,100,oritation,yes
alumni,20,1,https://alumni.arizona.edu/node/28,48000,153000,5,0.3,10469,4200,alumni,yes
volunteer,20,1,https://extension.arizona.edu/about/volunteer,48000,161000,21,0.6,17923,189000,volunteering opportunities,yes
caps,20,1,https://caps.arizona.edu/,47000,257000,59,0.3,16147,9000,caps,yes
diploma,20,1,https://english.arizona.edu/ba-english/requirements,46000,218000,25,1.4,8818,8500,diploma,yes
transfer,20,1,https://law.arizona.edu/admissions/transfer,46000,387000,72,0.8,13787,2900,transfer,yes
staff,20,1,http://science.arizona.edu/faculty-staff,46000,325000,22,0.3,13739,2500,staff,yes
risk management,20,1,https://eller.arizona.edu/,45000,152000,69,1.0,22279,15000,risk management,yes
iss,20,1,https://international.arizona.edu/international-students/contact-iss,45000,301000,86,0.2,24646,14000,international space station,yes
catering,20,1,https://union.arizona.edu/azcateringandevents/catering-overview,44000,208000,49,1.1,21300,1400,catering near me,yes
neuroscience,20,1,https://science.arizona.edu/,44000,98000,0,0.8,16726,11000,neuroscience,yes
entomology,20,1,https://ento.arizona.edu/medical-veterinary-and-public-health-entomology,43000,80000,37,0.15,6844,5900,entomologist,yes
crossroads,20,1,https://compass.arizona.edu/events/2026-crossroads-conference,42000,81000,72,0.15,15046,1600,crossroads,yes
campus,20,1,https://www.arizona.edu/admissions/visit,40000,576000,82,4.5,20867,6800,campus,yes
ferpa,20,1,https://medicine.arizona.edu/internal-resources/form/ferpa-family-educational-rights-privacy-act,40000,44000,72,0.8,20988,24000,ferpa,yes
nursing,20,1,https://www.arizona.edu/degree-search/majors/nursing-integrative-health-emphasis,40000,136000,77,0.45,15672,8200,nursing,yes
athletics,21,1,https://arizonawildcats.com/,39000,88000,77,0.4,12523,43000,athletics,yes
rotc,20,1,https://sos.arizona.edu/node/35,39000,71000,61,1.7,14146,7400,air force rotc,yes
syllabus,20,1,https://ge.arizona.edu/syllabus-guidelines,38000,400000,40,0.09,9751,1200,what is a syllabus,yes
environmental science,20,1,https://chee.engineering.arizona.edu/,37000,83000,52,2.5,13764,3000,environmental science,yes
fm,20,1,https://fm.ufs.arizona.edu/fm-projects,37000,157000,86,0.25,22471,42000,last fm,yes
counseling,20,1,https://caps.arizona.edu/,36000,90000,64,6.0,10793,2800,counseling,yes
veteran,20,1,https://healthsciences.arizona.edu/events/honoring-veterans-and-active-military-men-and-women,36000,74000,70,0.4,9363,137000,va,yes
severe weather,20,1,https://has.arizona.edu/,36000,77000,7,0.3,21391,30000,storm,yes
drc,20,1,https://drc.arizona.edu/,35000,112000,61,1.5,16113,30000,congo,yes
parking,20,1,https://parking.arizona.edu/,34000,255000,34,0.7,11224,11000,parking,yes
internship,20,1,https://sgpp.arizona.edu/events/career-workshop-jobinternship-search,34000,292000,27,0.35,16885,12000,internship opportunities for college students,yes
biochemistry,20,1,https://science.arizona.edu/,33000,112000,69,0.6,11059,4700,biochemistry,yes
degrees,20,1,https://www.arizona.edu/degree-search/majors,33000,72000,53,1.7,6967,2900,degree,yes
registration,20,1,https://www.lpl.arizona.edu/voltron/registration,33000,236000,26,1.0,14519,62000,dmv registration,yes
bookstore,20,1,https://shop.arizona.edu/,32000,66000,74,0.45,13882,18000,the strand,yes
citrus,20,1,https://extension.arizona.edu/topics/citrus,31000,167000,46,0.25,10072,8200,citrus,yes
commencement,20,1,https://commencement.arizona.edu/,30000,55000,8,0.04,6341,1800,commencement,yes
RAP,20,1,https://healthsciences.arizona.edu/research/research-administration/regulatory/research-administration-portal-rap,29000,140000,26,0.4,11684,8100,rapper,yes
conflict of interest,20,1,https://research.arizona.edu/compliance/office-responsible-outside-interests/individual-conflict-interest-research/federal-regulations-conflict-interest,29000,73000,32,0.07,9318,2400,conflict of interest,yes
surplus,20,1,https://coh-it.arizona.edu/surplus-list,29000,78000,43,0.2,8236,23000,public surplus,yes
convocation,20,1,https://commencement.arizona.edu/,27000,80000,9,0.1,5494,1100,convocation,yes
tuition,20,1,https://www.arizona.edu/admissions/cost,27000,164000,35,0.4,6462,11000,tuition,yes
summer camp,20,1,https://extension.arizona.edu/news/moyava-4-h-summer-camp,27000,61000,8,1.2,14072,13000,summer camps near me,yes
Book store,20,1,https://sos.arizona.edu/bookstore,26000,61000,37,0.3,11229,29000,bookstore near me,yes
faculty,20,1,http://science.arizona.edu/faculty-staff,26000,80000,42,0.3,6183,4400,faculty,yes
major,20,1,https://www.arizona.edu/degree-search,26000,320000,34,0.9,6606,1100,major,yes
internships,20,1,https://www.arizona.edu/admissions/admissions-student-story-topics/internships,26000,48000,7,0.6,22001,13000,internship opportunities for college students,yes
Hours,20,1,https://salt.arizona.edu/hours,25000,78000,39,0.3,10487,9000,hours,yes
study abroad,20,1,https://international-admissions.arizona.edu/,25000,68000,62,2.5,12308,17000,study abroad programs,yes
catalog,20,1,https://registrar.arizona.edu/faculty-staff-resources/academic-catalog-policy/catalog,24000,96000,59,0.2,9683,3800,catalog,yes
housing,20,1,https://housing.arizona.edu/dorms,24000,133000,6,0.8,23999,1400,free housing,yes
IRB,20,1,https://research.arizona.edu/compliance/human-subjects-protection-program/about-the-irb,23000,50000,18,3.5,8986,1200,institutional review board,yes
tour,20,1,https://arboretum.arizona.edu/arboretum-history-virtual-tour-landing-page,23000,157000,48,0.5,9280,6500,viator new york,yes
phone book,20,1,https://health.arizona.edu/phone-location-hours,23000,36000,40,0.4,25796,200,superpages search,yes
